Timestamp;Force Z;Comments;
0;-0.77;;
6;-2.42;;
11;-0.39;;
17;-0.79;;
23;-1.08;;
29;-0.85;;
34;0.04;;
40;-0.37;;
46;-0.02;;
52;-1.47;;
57;-0.48;;
63;-0.66;;
69;-2.28;;
74;-0.95;;
80;-1.41;;
86;-1.53;;
92;-1.22;;
97;-1.51;;
103;-1.86;;
109;-1.51;;
115;-1.92;;
120;-0.25;;
126;-0.71;;
132;-0.43;;
137;-1.12;;
143;-1.06;;
149;-0.33;;
155;-1.49;;
160;-0.97;;
166;-0.91;;
172;0.08;;
178;-1.03;;
183;-0.56;;
189;-1.55;;
195;-0.74;;
200;-0.39;;
206;-1.51;;
212;-0.70;;
218;-0.99;;
223;-1.63;;
229;-1.05;;
235;-1.76;;
241;-0.95;;
246;-0.77;;
252;-0.77;;
258;-0.77;;
263;-0.08;;
269;-0.54;;
275;-0.19;;
281;0.10;;
286;0.50;;
292;-0.54;;
298;-0.54;;
304;0.27;;
309;0.04;;
315;0.04;;
321;-0.39;;
326;-1.26;;
332;-0.91;;
338;-0.62;;
344;-0.56;;
349;-0.54;;
355;-0.95;;
361;-0.77;;
367;-1.24;;
372;-0.37;;
378;-1.04;;
384;-0.81;;
389;0.52;;
395;-0.64;;
401;-0.58;;
407;-0.95;;
412;-1.29;;
418;-1.18;;
424;-2.63;;
429;-1.06;;
435;-0.53;;
441;-1.16;;
447;-0.93;;
452;-0.70;;
458;-1.05;;
464;-1.37;;
470;-0.62;;
475;-0.68;;
481;-0.68;;
487;-2.24;;
492;-0.43;;
498;-0.95;;
504;-0.83;;
510;-1.58;;
515;-0.66;;
521;-0.79;;
527;-0.45;;
533;-0.50;;
538;-0.21;;
544;-0.39;;
550;-2.73;;
555;-0.64;;
561;-0.53;;
567;-0.18;;
573;-0.70;;
578;0.27;;
584;-0.83;;
590;-0.37;;
596;-1.24;;
601;-0.25;;
607;0.42;;
613;-0.85;;
618;-0.39;;
624;-0.39;;
630;-0.74;;
636;-0.85;;
641;-1.03;;
647;-0.97;;
653;-0.91;;
659;-0.04;;
664;0.10;;
670;-0.71;;
676;-0.48;;
681;-0.66;;
687;-0.37;;
693;-0.48;;
699;-0.43;;
704;0.33;;
710;-0.14;;
716;-0.19;;
722;0.21;;
727;-0.54;;
733;-0.48;;
739;0.39;;
